Variables= X  Y  Z 
zone i= 101
15.180000  13.292000  15.057000
15.359016  13.088470  15.071225
15.535707  12.882743  15.058383
15.708745  12.676423  15.023856
15.877864  12.469914  14.972478
16.042624  12.263934  14.908623
16.203733  12.057732  14.836208
16.361374  11.851190  14.756804
16.515448  11.644534  14.670843
16.665844  11.438040  14.578918
16.812824  11.231475  14.481351
16.956327  11.025035  14.378502
17.096115  10.819199  14.270874
17.232750  10.613264  14.158331
17.366043  10.407625  14.041287
17.496023  10.202355  13.919979
17.622732  9.997515   13.794624
17.746250  9.793100   13.665386
17.866629  9.589143   13.532436
17.983910  9.385696   13.395951
18.098125  9.182825   13.256100
18.209333  8.980558   13.113021
18.317583  8.778927   12.966840
18.422939  8.577929   12.817747
18.525476  8.377549   12.665586
18.625259  8.177773   12.510448
18.721966  7.979384   12.353036
18.816118  7.781457   12.192698
18.907591  7.584363   12.029803
18.996433  7.388122   11.864443
19.082697  7.192749   11.696705
19.166430  6.998261   11.526670
19.247679  6.804677   11.354415
19.326490  6.612014   11.180008
19.402908  6.420288   11.003515
19.476976  6.229518   10.824997
19.548737  6.039726   10.644503
19.618231  5.850933   10.462087
19.685497  5.663161   10.277789
19.750576  5.476436   10.091653
19.813505  5.290780   9.903715
19.874321  5.106220   9.714013
19.933062  4.922781   9.522581
19.989769  4.740476   9.329446
20.044476  4.559337   9.134647
20.097219  4.379386   8.938226
20.148039  4.200635   8.740206
20.196974  4.023096   8.540619
20.244062  3.846787   8.339504
20.289341  3.671717   8.136898
20.332848  3.497898   7.932834
20.374620  3.325334   7.727345
20.414696  3.154035   7.520466
20.453114  2.984001   7.312231
20.489906  2.815238   7.102674
20.525114  2.647747   6.891829
20.558769  2.481524   6.679728
20.590910  2.316571   6.466407
20.621571  2.152883   6.251897
20.650784  1.990452   6.036230
20.678585  1.829273   5.819442
20.705008  1.669340   5.601568
20.730083  1.510634   5.382630
20.753847  1.353145   5.162663
20.776327  1.196862   4.941704
20.797552  1.041775   4.719793
20.817556  0.887860   4.496953
20.836369  0.735098   4.273216
20.854015  0.583470   4.048615
20.870523  0.432952   3.823182
20.885923  0.283521   3.596945
20.900238  0.135154   3.369939
20.913492  -0.012175  3.142195
20.925713  -0.158494  2.913742
20.936918  -0.303830  2.684610
